Informe o tempo medio entre clientes (s): Informe o tempo medio de servico (s): Informe o tempo a ser simulado (s): segundo,erro_little
10,0.00000000000000000000
20,0.00000000000000355271
30,0.00000000000000177636
40,0.00000000000001421085
50,0.00000000000001421085
60,0.00000000000002486900
70,0.00000000000002664535
80,0.00000000000003907985
90,0.00000000000005684342
100,0.00000000000000355271
110,0.00000000000001243450
120,0.00000000000004263256
130,0.00000000000000888178
140,0.00000000000004440892
150,0.00000000000001421085
160,0.00000000000003552714
170,0.00000000000000710543
180,0.00000000000000710543
190,0.00000000000001598721
200,0.00000000000004796163
210,0.00000000000011191048
220,0.00000000000011546319
230,0.00000000000011546319
240,0.00000000000012256862
250,0.00000000000005861978
260,0.00000000000015276669
270,0.00000000000025401903
280,0.00000000000027178260
290,0.00000000000034816594
300,0.00000000000038369308
310,0.00000000000035171865
320,0.00000000000022204460
330,0.00000000000010835777
340,0.00000000000009681145
350,0.00000000000000088818
360,0.00000000000000799361
370,0.00000000000013500312
380,0.00000000000002131628
390,0.00000000000018651747
400,0.00000000000033573144
410,0.00000000000030908609
420,0.00000000000031796787
430,0.00000000000019539925
440,0.00000000000014033219
450,0.00000000000032684966
460,0.00000000000045652371
470,0.00000000000042099657
480,0.00000000000032507330
490,0.00000000000018118840
500,0.00000000000013145041
510,0.00000000000016342483
520,0.00000000000019007018
530,0.00000000000026822988
540,0.00000000000044231285
550,0.00000000000051869620
560,0.00000000000060396133
570,0.00000000000080468965
580,0.00000000000073008266
590,0.00000000000067856831
600,0.00000000000075139894
610,0.00000000000071054274
620,0.00000000000061461947
630,0.00000000000086686214
640,0.00000000000078159701
650,0.00000000000093791641
660,0.00000000000077626794
670,0.00000000000074429352
680,0.00000000000021849189
690,0.00000000000047251092
700,0.00000000000038191672
710,0.00000000000028244074
720,0.00000000000045830006
730,0.00000000000019007018
740,0.00000000000057909233
750,0.00000000000091482377
760,0.00000000000082600593
770,0.00000000000085087493
780,0.00000000000064304118
790,0.00000000000081357143
800,0.00000000000123279165
810,0.00000000000148858703
820,0.00000000000153299595
830,0.00000000000172839520
840,0.00000000000171773706
850,0.00000000000196109795
860,0.00000000000175681691
870,0.00000000000187760918
880,0.00000000000210498285
890,0.00000000000211031193
900,0.00000000000169819714
910,0.00000000000146904711
920,0.00000000000145483625
930,0.00000000000121325172
940,0.00000000000110311760
950,0.00000000000160760294
960,0.00000000000230215846
970,0.00000000000213695728
980,0.00000000000231104025
990,0.00000000000246913601
1000,0.00000000000231636932
1010,0.00000000000204103401
1020,0.00000000000196820338
1030,0.00000000000216182627
1040,0.00000000000198951966
1050,0.00000000000210143014
1060,0.00000000000208721929
1070,0.00000000000188116189
1080,0.00000000000180477855
1090,0.00000000000131983313
1100,0.00000000000138911105
1110,0.00000000000099475983
1120,0.00000000000158095759
1130,0.00000000000163602465
1140,0.00000000000169464442
1150,0.00000000000156319402
1160,0.00000000000169997350
1170,0.00000000000168398628
1180,0.00000000000186872740
1190,0.00000000000159339208
1200,0.00000000000141398004
1210,0.00000000000170352621
1220,0.00000000000211919371
1230,0.00000000000297539771
1240,0.00000000000222399876
1250,0.00000000000238387088
1260,0.00000000000259170463
1270,0.00000000000257216470
1280,0.00000000000342126327
1290,0.00000000000356514818
1300,0.00000000000368594044
1310,0.00000000000412825329
1320,0.00000000000437339054
1330,0.00000000000435562697
1340,0.00000000000400213196
1350,0.00000000000363264974
1360,0.00000000000381383813
1370,0.00000000000370725672
1380,0.00000000000363797881
1390,0.00000000000357402996
1400,0.00000000000375699472
1410,0.00000000000362554431
1420,0.00000000000316369153
1430,0.00000000000320632410
1440,0.00000000000304112291
1450,0.00000000000247446508
1460,0.00000000000256328292
1470,0.00000000000237143638
1480,0.00000000000144595447
1490,0.00000000000136957112
1500,0.00000000000088284935
1510,0.00000000000172306613
1520,0.00000000000169642078
1530,0.00000000000171596071
1540,0.00000000000215294449
1550,0.00000000000181366033
1560,0.00000000000223820962
1570,0.00000000000178879134
1580,0.00000000000154365409
1590,0.00000000000100364161
1600,0.00000000000077271523
1610,0.00000000000012967405
1620,0.00000000000053645977
1630,0.00000000000033928416
1640,0.00000000000028599345
1650,0.00000000000026822988
1660,0.00000000000004085621
1670,0.00000000000034816594
1680,0.00000000000061639582
1690,0.00000000000041566750
1700,0.00000000000086153307
1710,0.00000000000092725827
1720,0.00000000000104982689
1730,0.00000000000002309264
1740,0.00000000000028244074
1750,0.00000000000088107299
1760,0.00000000000076560980
1770,0.00000000000089706020
1780,0.00000000000070343731
1790,0.00000000000092192920
1800,0.00000000000104449782
1810,0.00000000000097521990
1820,0.00000000000174260606
1830,0.00000000000181188398
1840,0.00000000000236077824
1850,0.00000000000199307237
1860,0.00000000000219202434
1870,0.00000000000265032440
1880,0.00000000000216715534
1890,0.00000000000138555833
1900,0.00000000000139266376
1910,0.00000000000084199314
1920,0.00000000000024158453
1930,0.00000000000056843419
1940,0.00000000000054711791
1950,0.00000000000012789769
1960,0.00000000000005329071
1970,0.00000000000012434498
1980,0.00000000000027355895
1990,0.00000000000044764192
2000,0.00000000000090238927
2010,0.00000000000130384592
2020,0.00000000000209610107
2030,0.00000000000219557705
2040,0.00000000000231992203
2050,0.00000000000250821586
2060,0.00000000000226663133
2070,0.00000000000249045229
2080,0.00000000000139976919
2090,0.00000000000122213351
2100,0.00000000000141753276
2110,0.00000000000271072054
2120,0.00000000000312638804
2130,0.00000000000353850282
2140,0.00000000000355271368
2150,0.00000000000511590770
2160,0.00000000000527577981
2170,0.00000000000523669996
2180,0.00000000000487077045
2190,0.00000000000450484094
2200,0.00000000000561328761
2210,0.00000000000575184345
2220,0.00000000000536459765
2230,0.00000000000497024644
2240,0.00000000000510524956
2250,0.00000000000477484718
2260,0.00000000000500222086
2270,0.00000000000476774176
2280,0.00000000000420286028
2290,0.00000000000424904556
2300,0.00000000000377298193
2310,0.00000000000461497507
2320,0.00000000000461142236
2330,0.00000000000497024644
2340,0.00000000000416378043
2350,0.00000000000425615099
2360,0.00000000000349587026
2370,0.00000000000358113539
2380,0.00000000000382271992
2390,0.00000000000324718030
2400,0.00000000000359534624
2410,0.00000000000450484094
2420,0.00000000000428457270
2430,0.00000000000306599190
2440,0.00000000000289546165
2450,0.00000000000294519964
2460,0.00000000000335020900
2470,0.00000000000359179353
2480,0.00000000000289901436
2490,0.00000000000315125703
2500,0.00000000000277822210
2510,0.00000000000245492515
2520,0.00000000000269650968
2530,0.00000000000206412665
2540,0.00000000000237321274
2550,0.00000000000196109795
2560,0.00000000000127542421
2570,0.00000000000094502184
2580,0.00000000000057909233
2590,0.00000000000081001872
2600,0.00000000000111910481
2610,0.00000000000090949470
2620,0.00000000000147792889
2630,0.00000000000208544293
2640,0.00000000000150279789
2650,0.00000000000144595447
2660,0.00000000000261124455
2670,0.00000000000287414537
2680,0.00000000000189004368
2690,0.00000000000202504680
2700,0.00000000000255795385
2710,0.00000000000253308485
2720,0.00000000000245492515
2730,0.00000000000283151280
2740,0.00000000000271072054
2750,0.00000000000250821586
2760,0.00000000000290256708
2770,0.00000000000396482847
2780,0.00000000000479616347
2790,0.00000000000444444481
2800,0.00000000000461852778
2810,0.00000000000484234874
2820,0.00000000000594368998
2830,0.00000000000622435437
2840,0.00000000000605027139
2850,0.00000000000641620090
2860,0.00000000000561684033
2870,0.00000000000462563321
2880,0.00000000000445865567
2890,0.00000000000422062385
2900,0.00000000000541433565
2910,0.00000000000654765131
2920,0.00000000000702016223
2930,0.00000000000536815037
2940,0.00000000000546762635
2950,0.00000000000766675612
2960,0.00000000000678568313
2970,0.00000000000610000939
2980,0.00000000000571276360
2990,0.00000000000363087338
3000,0.00000000000250821586
3010,0.00000000000407851530
3020,0.00000000000602184969
3030,0.00000000000622080165
3040,0.00000000000480326889
3050,0.00000000000362732067
3060,0.00000000000155253588
3070,0.00000000000413535872
3080,0.00000000000132160949
3090,0.00000000000013145041
3100,0.00000000000014566126
3110,0.00000000000106581410
3120,0.00000000000101962883
3130,0.00000000000040500936
3140,0.00000000000067146289
3150,0.00000000000069633188
3160,0.00000000000151345603
3170,0.00000000000090949470
3180,0.00000000000159872116
3190,0.00000000000185451654
3200,0.00000000000115818466
3210,0.00000000000336086714
3220,0.00000000000247268872
3230,0.00000000000316902060
3240,0.00000000000153477231
3250,0.00000000000374456022
3260,0.00000000000320454774
3270,0.00000000000385114163
3280,0.00000000000405009359
3290,0.00000000000252953214
3300,0.00000000000232347475
3310,0.00000000000237321274
3320,0.00000000000067501560
3330,0.00000000000074606987
3340,0.00000000000024158453
3350,0.00000000000068922645
3360,0.00000000000273558953
3370,0.00000000000225242047
3380,0.00000000000108002496
3390,0.00000000000115818466
3400,0.00000000000077449158
3410,0.00000000000269295697
3420,0.00000000000181188398
3430,0.00000000000177635684
3440,0.00000000000002131628
3450,0.00000000000037658765
3460,0.00000000000165556457
3470,0.00000000000099475983
3480,0.00000000000003552714
3490,0.00000000000120792265
3500,0.00000000000208189022
3510,0.00000000000118660637
3520,0.00000000000045474735
3530,0.00000000000103028697
3540,0.00000000000106581410
3550,0.00000000000230215846
3560,0.00000000000245847787
3570,0.00000000000309796633
3580,0.00000000000331112915
3590,0.00000000000432720526
3600,0.00000000000466826577
3610,0.00000000000439825953
3620,0.00000000000423483471
3630,0.00000000000525801624
3640,0.00000000000486011231
3650,0.00000000000365929509
3660,0.00000000000380850906
3670,0.00000000000329336558
3680,0.00000000000258282284
3690,0.00000000000261124455
3700,0.00000000000217781349
3710,0.00000000000083488771
3720,0.00000000000136779477
3730,0.00000000000261479727
3740,0.00000000000201438866
3750,0.00000000000238742359
3760,0.00000000000251887400
3770,0.00000000000392574862
3780,0.00000000000466116035
3790,0.00000000000466826577
3800,0.00000000000348165941
3810,0.00000000000463984406
3820,0.00000000000543565193
3830,0.00000000000505551156
3840,0.00000000000688160640
3850,0.00000000000566657832
3860,0.00000000000710187464
3870,0.00000000000598987526
3880,0.00000000000637001563
3890,0.00000000000705924208
3900,0.00000000000762767627
3910,0.00000000000733280103
3920,0.00000000000815703061
3930,0.00000000000956745794
3940,0.00000000001031708052
3950,0.00000000000925837185
3960,0.00000000000903455089
3970,0.00000000001029576424
3980,0.00000000000944311296
3990,0.00000000000735411732
4000,0.00000000000683186840
4010,0.00000000000766320341
4020,0.00000000000864019967
4030,0.00000000000756372742
4040,0.00000000000787636623
4050,0.00000000000786570808
4060,0.00000000000835242986
4070,0.00000000000857625082
4080,0.00000000000983746418
4090,0.00000000000987299131
4100,0.00000000000847677484
4110,0.00000000001009681228
4120,0.00000000001055511234
4130,0.00000000001350386469
4140,0.00000000001284305995
4150,0.00000000001592681542
4160,0.00000000001642774805
