segundo,erro_little
10,0.00000000000000177636
20,0.00000000000000222045
30,0.00000000000000233147
40,0.00000000000000666134
50,0.00000000000000666134
60,0.00000000000000754952
70,0.00000000000003530509
80,0.00000000000004818368
90,0.00000000000006084022
100,0.00000000000008459899
110,0.00000000000008015810
120,0.00000000000000732747
130,0.00000000000002375877
140,0.00000000000003930190
150,0.00000000000008393286
160,0.00000000000008992806
170,0.00000000000007505108
180,0.00000000000004574119
190,0.00000000000000732747
200,0.00000000000006550316
210,0.00000000000004463097
220,0.00000000000002287059
230,0.00000000000002420286
240,0.00000000000009570122
250,0.00000000000000399680
260,0.00000000000004729550
270,0.00000000000005417888
280,0.00000000000005084821
290,0.00000000000018429702
300,0.00000000000021160851
310,0.00000000000008104628
320,0.00000000000019251267
330,0.00000000000013278267
340,0.00000000000015321078
350,0.00000000000026179059
360,0.00000000000023403501
370,0.00000000000030331293
380,0.00000000000041877612
390,0.00000000000050182081
400,0.00000000000056954441
410,0.00000000000046873616
420,0.00000000000037880810
430,0.00000000000061728400
440,0.00000000000077737816
450,0.00000000000083999474
460,0.00000000000063260508
470,0.00000000000068345329
480,0.00000000000072053474
490,0.00000000000080269125
500,0.00000000000089506180
510,0.00000000000095101704
520,0.00000000000098143715
530,0.00000000000131339384
540,0.00000000000151190171
550,0.00000000000137778677
560,0.00000000000138888900
570,0.00000000000097877262
580,0.00000000000114641630
590,0.00000000000109312559
600,0.00000000000109823262
610,0.00000000000099320552
620,0.00000000000125810473
630,0.00000000000098432373
640,0.00000000000107225340
650,0.00000000000111688436
660,0.00000000000111533005
670,0.00000000000117084120
680,0.00000000000110422782
690,0.00000000000133093536
700,0.00000000000111777254
710,0.00000000000127187150
720,0.00000000000155031543
730,0.00000000000145705670
740,0.00000000000145572443
750,0.00000000000094702024
760,0.00000000000096123109
770,0.00000000000077537976
780,0.00000000000095479180
790,0.00000000000089239727
800,0.00000000000073163697
810,0.00000000000046118664
820,0.00000000000045141668
830,0.00000000000088284935
840,0.00000000000093502983
850,0.00000000000109778853
860,0.00000000000129962707
870,0.00000000000180633286
880,0.00000000000190691907
890,0.00000000000202282635
900,0.00000000000170796710
910,0.00000000000165067959
920,0.00000000000153765889
930,0.00000000000165889524
940,0.00000000000136179956
950,0.00000000000142841294
960,0.00000000000129096733
970,0.00000000000130140343
980,0.00000000000126099131
990,0.00000000000167732495
1000,0.00000000000159205982
1010,0.00000000000139377399
1020,0.00000000000094546593
1030,0.00000000000049094062
1040,0.00000000000042255088
1050,0.00000000000049116267
1060,0.00000000000065081274
